Address,Latitude,Longitude,,,,,,,,,,,,,,Plus_Code_Compound,Plus_Code_Global
Delhi,28.7040592,77.1024902,,,,,,,,,,,,,,,
Mumbai,19.0759837,72.8776559,,,,,,,,,,,,,,,
Chennai,13.0826802,80.2707184,,,,,,,,,,,,,,,
Kolkata,22.572646,88.363895,,,,,,,,,,,,,,,
Bengaluru,12.9715987,77.5945627,,,,,,,,,,,,,,,
Hyderabad,17.385044,78.486671,,,,,,,,,,,,,,,
Pune,18.5204303,73.8567437,,,,,,,,,,,,,,,
Ahmedabad,23.022505,72.5713621,,,,,,,,,,,,,,,
Jaipur,26.9124336,75.7872709,,,,,,,,,,,,,,,
Lucknow,26.8466937,80.946166,,,,,,,,,,,,,,,
Indore,22.7195687,75.8577258,,,,,,,,,,,,,,,
Bhopal,23.2599333,77.412615,,,,,,,,,,,,,,,
Kanpur,26.449923,80.3318736,,,,,,,,,,,,,,,
Chandigarh,30.7333148,76.7794179,,,,,,,,,,,,,,,
Ludhiana,30.900965,75.8572758,,,,,,,,,,,,,,,
Coimbatore,11.0168445,76.9558321,,,,,,,,,,,,,,,
Kochi,9.9312328,76.2673041,,,,,,,,,,,,,,,
Nagpur,21.1458004,79.0881546,,,,,,,,,,,,,,,
Varanasi,25.3176452,82.9739144,,,,,,,,,,,,,,,
Surat,21.1702401,72.8310607,,,,,,,,,,,,,,,
Vijayawada,16.5061743,80.6480153,,,,,,,,,,,,,,,
Visakhapatnam,17.6868159,83.2184815,,,,,,,,,,,,,,,
Patna,25.5940947,85.1375645,,,,,,,,,,,,,,,
Gurgaon,28.4594965,77.0266383,,,,,,,,,,,,,,,
Noida,28.5355161,77.3910265,,,,,,,,,,,,,,,
Thiruvananthapuram,8.5241391,76.9366376,,,,,,,,,,,,,,,
Mangalore,12.9141417,74.8559568,,,,,,,,,,,,,,,
Vadodara,22.3071588,73.1812187,,,,,,,,,,,,,,,
Raipur,21.2513844,81.6296413,,,,,,,,,,,,,,,
Amritsar,31.6339793,74.8722642,,,,,,,,,,,,,,,
Agra,27.1766701,78.0080745,,,,,,,,,,,,,,,
Madurai,9.9252007,78.1197754,,,,,,,,,,,,,,,
Cuttack,20.462521,85.8829895,,,,,,,,,,,,,,,
Jodhpur,26.2389469,73.0243094,,,,,,,,,,,,,,,
Dehradun,30.3164945,78.0321918,,,,,,,,,,,,,,,
Jalandhar,31.3260152,75.5761829,,,,,,,,,,,,,,,
Guwahati,26.1157917,91.7085933,,,,,,,,,,,,,,,
Jamshedpur,22.8045665,86.2028754,,,,,,,,,,,,,,,
Kota,25.2138156,75.8647527,,,,,,,,,,,,,,,
Faridabad,28.4089123,77.3177894,,,,,,,,,,,,,,,
Ghaziabad,28.6691565,77.4537578,,,,,,,,,,,,,,,
Ranchi,23.3440997,85.309562,,,,,,,,,,,,,,,
Srinagar,34.0836708,74.7972825,,,,,,,,,,,,,,,
Cochin,9.9312328,76.2673041,,,,,,,,,,,,,,,
Salem,42.5197473,-70.8954626,,,,,,,,,,,,,,,
Tiruchirappalli,10.7904833,78.7046725,,,,,,,,,,,,,,,
Vijayawada,16.5061743,80.6480153,,,,,,,,,,,,,,,
Navi Mumbai,19.0330488,73.0296625,,,,,,,,,,,,,,,
Mysore,12.2958104,76.6393805,,,,,,,,,,,,,,,
Thrissur,10.5276416,76.2144349,,,,,,,,,,,,,,,